userName,score,content
MUHAMMAD SYIDQI AL- BADAWI,1,"TOLONG DONG PIHAK DEVELOPER. UNTUK TRANSFER KE E WALLET SEPERTI DANA, SHOPPE PAY, GOPAY DLL. MOHON UNTUK TRANSAKSI NYA BEBAS BIAYA ADMIN 10X DALAM SEBULAN AJA. AGAR LEBIH NYAMAN UNTUK TRANSAKSI"
Notaris C Anam,1,lemot aplikasi nya. jika butuh pembayaran cepat
Mustofa,5,"simple, mudah dan cepat"
Arsi Plus Studio,4,awesome
Tita Juwita,5,transaksi lancar tanpa hambatan
Marina Ayu,1,"Bank Benalu BCA, Transaksi sukses penerima tidak ada saldo masuk. Layanan CS lambat Mending jangan pakai blu dari pada nyesel, malu sama keluarga Transfer bukti sudah sukses penerima gak ada saldo masuk. #Uninstalblu"
nuri safitri,4,"akun ke blokir sudah isi data benar, tapi balik lagi masih ke blokir lebih dari 3x tolong perbaiki blu"
Ctyrhm4h 17,4,"aplikasinya bagus, hp aku nya aja yang kentang"
Bahri,5,bagus
Muhammad Nah,5,👍🏻
Vicky Rizki Suharto Putra Prasetya,5,sangat bagus dan tidak mengecewakan
gusma wati,5,sangat bagus sekali... saya sangat nyaman memakai memakai blu bca
Zufar Al hasyimi,5,"min kapan rilis fitur create QRIS buat bayar nyaa?, ditungguu"
Riski Hafiz,5,Kalau blu sudah menyediakan kartu debit fisik kayak bank digital sebelah baru akan saya kasih bintang 5
andhika satyaludhira,5,nie aplikasi kenapa lgi c kok crash melulu... masak verifikasi wajah hampir 1 jam gagal terus... kameranya kenapa woooeeeyyyyy
Yohanes Fional,4,"perbaiki lagi untuk pembayaran via virtual account bca sering bermasalah, sering tidak dikenali nomor virtual accountnya."
Hasan Hasanudin,5,sejak pake blu serasa punya atm pribadi dg banyak rekening mau saving dengan beberapa post mudah. untuk saving dan untuk Cash flow
Ridho Fahtoni,5,mantap
Sambal Lalap,5,bagus sekali!!
sartono,5,ok
Regi Ryansyah,3,"Aplikasinya berat kadang"" ga loading terus juga suka ngebug, admin mohon di perbaiki ,jika apl nya sudah ringan dan tidak banyak bug maka rating akan sy kasih bintang 5"
Trading Roker,5,"fiturnya sudah bagus,,cuma lemot muter2 mulu,coba di bikin satset"
NIA KURNIA MUHAMMAD,3,"Pengalaman pertama pakai aplikasi ini, bagus, namun sayang sekali animasi loading nya lama, jadi nunggu nya agak lama"
Fransisko Oki,5,the best
